tempo,Vo
1782594379.447,501
1782594379.457,501
1782594379.467,500
1782594379.478,499
1782594379.488,500
1782594379.497,501
1782594379.507,501
1782594379.518,501
1782594379.528,500
1782594379.537,501
1782594379.548,499
1782594379.558,500
1782594379.568,499
1782594379.577,501
1782594379.587,499
1782594379.598,499
1782594379.608,498
1782594379.617,498
1782594379.627,498
1782594379.638,496
1782594379.648,498
1782594379.658,497
1782594379.667,499
1782594379.677,496
1782594379.688,497
1782594379.698,498
1782594379.707,498
1782594379.718,499
1782594379.728,499
1782594379.738,499
1782594379.747,497
1782594379.758,498
1782594379.768,499
1782594379.778,498
1782594379.788,500
1782594379.799,500
1782594379.809,500
1782594379.819,500
